keyword,volume,kd,position,url,traffic,cpc,intent,parent_topic,opportunity_score
lmnp définition,4400,22,1,https://esprit-riche.com/lmnp-d-finition,1320,0.6,informational,LMNP,191.3
etf pea,8100,48,2,https://esprit-riche.com/etf-pea,1215,1.2,commercial,ETF,214.9
dca bourse,1900,22,1,https://esprit-riche.com/dca-bourse,570,0.7,informational,DCA,82.61
indépendance financière,5400,42,3,https://esprit-riche.com/ind-pendance-financi-re,540,1.1,informational,FIRE,125.58
pea fonctionnement,3600,35,2,https://esprit-riche.com/pea-fonctionnement,540,0.9,informational,PEA,100.0
amortissement lmnp,2400,25,8,https://esprit-riche.com/amortissement-lmnp,60,0.6,informational,LMNP,92.31
calcul viager occupé,2900,26,9,https://esprit-riche.com/calcul-viager-occup,58,0.4,informational,Viager,107.41
lmnp 2026,1900,28,7,https://esprit-riche.com/lmnp-2026,57,0.8,informational,LMNP,65.52
rente passive,1300,22,7,https://esprit-riche.com/rente-passive,39,0.6,informational,FIRE,56.52
revenu passif immobilier,1900,28,10,https://esprit-riche.com/revenu-passif-immobilier,34,0.9,commercial,FIRE,85.17
livret a plafond 2026,6600,32,35,https://esprit-riche.com/livret-a-plafond-2026,33,0.4,informational,Épargne,200.0
fiscalité viager,1300,28,8,https://esprit-riche.com/fiscalit-viager,32,0.5,informational,Viager,44.83
msci world etf,2900,30,13,https://esprit-riche.com/msci-world-etf,29,1.4,commercial,ETF,121.61
lmnp ou lmp,720,22,6,https://esprit-riche.com/lmnp-ou-lmp,28,0.5,commercial,LMNP,40.7
meilleur etf pea,2400,28,12,https://esprit-riche.com/meilleur-etf-pea,24,1.3,commercial,ETF,107.59
hcsf 2026,480,18,6,https://esprit-riche.com/hcsf-2026,19,0.8,informational,HCSF,25.26
renégocier prêt immobilier,1900,30,16,https://esprit-riche.com/ren-gocier-pr-t-immobilier,19,1.6,transactional,Crédit,91.94
assurance vie meilleure,3600,48,42,https://esprit-riche.com/assurance-vie-meilleure,18,2.1,commercial,Assurance vie,95.51
dividendes mensuels,880,24,9,https://esprit-riche.com/dividendes-mensuels,17,0.7,informational,Dividendes,35.2
scpi rendement 2026,2400,38,28,https://esprit-riche.com/scpi-rendement-2026,12,1.8,commercial,SCPI,80.0
déclaration lmnp 2026,1100,18,14,https://esprit-riche.com/d-claration-lmnp-2026,11,0.9,transactional,LMNP,86.84
simulateur lmnp gratuit,1100,26,17,https://esprit-riche.com/simulateur-lmnp-gratuit,11,1.2,transactional,LMNP,61.11
réforme lmnp 2026,880,24,11,https://esprit-riche.com/r-forme-lmnp-2026,8,0.7,informational,LMNP,35.2
vente à terme immobilier,880,22,12,https://esprit-riche.com/vente-terme-immobilier,8,0.6,informational,Vente à terme,38.26
courtier bourse en ligne,4400,55,67,https://esprit-riche.com/courtier-bourse-en-ligne,8,3.2,commercial,Courtier,102.14
fire retraite anticipée,720,25,11,https://esprit-riche.com/fire-retraite-anticip-e,7,0.5,informational,FIRE,27.69
compte titres ou pea,1300,28,24,https://esprit-riche.com/compte-titres-ou-pea,6,0.7,commercial,PEA,58.28
bouquet viager calcul,590,20,15,https://esprit-riche.com/bouquet-viager-calcul,5,0.4,informational,Viager,28.1
fiscalité dividendes pea,880,24,22,https://esprit-riche.com/fiscalit-dividendes-pea,4,0.5,informational,PEA,35.2
